// Initial random seed:
23

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'xy');
initializeTreeSeq();
NUMGENS = 100
BURNIN = 200
W = 50
SIGMA = 1
K = 5
A = 0.444444
SD = 1
SI = 1
SM = 1
L = 4
G = 2000000000
FECUN = 0.25
initializeMutationType(1, 0.5, "g", 0, 2);
initializeGenomicElementType(1, m1, 1);
initializeGenomicElement(g1, 0, 1999999999);
initializeMutationRate(0);
initializeRecombinationRate(1e-09);
initializeInteractionType(1, "xy", reciprocal=T, maxDistance=3);
initializeInteractionType(2, "xy", reciprocal=T, maxDistance=3);

// Starting run at generation <start>:
1 

gen stage pop_size births age density neighbor harm_neigh num_off time
1 early 5555 5555 0 4.9995 4.72359 4.51982 0 0.050821
1 late  3821 3821 0 3.4389 4.78593 4.63221 0 0.051289
2 early 4784 963 0.798704 4.3056 4.39507 3.99855 0.204431 0.100852
2 late  3606 721 0.800055 3.2454 4.49722 4.14606 0.207709 0.101418
3 early 4518 912 1.4367 4.0662 4.44291 3.83732 0.37583 0.145792
3 late  3502 697 1.44746 3.1518 4.52083 3.94854 0.379783 0.146295
4 early 4413 911 1.94222 3.9717 4.49727 3.77686 0.491956 0.189155
4 late  3468 705 1.94896 3.1212 4.60029 3.91738 0.489331 0.189667
5 early 4312 844 2.37175 3.8808 4.65383 3.74113 0.595083 0.232897
5 late  3386 656 2.37212 3.0474 4.72986 3.80403 0.590372 0.233413
6 early 4215 829 2.7089 3.7935 4.73686 3.63112 0.677343 0.277699
6 late  3353 645 2.72771 3.0177 4.82069 3.75761 0.689234 0.278388
7 early 4211 858 2.96818 3.7899 4.9921 3.62828 0.747091 0.322554
7 late  3367 688 2.97446 3.0303 5.03921 3.68615 0.732997 0.323204
8 early 4182 815 3.1999 3.7638 5.14139 3.63344 0.787183 0.369506
8 late  3391 651 3.22589 3.0519 5.18926 3.70588 0.791212 0.370122
9 early 4207 816 3.40623 3.7863 5.30048 3.69706 0.846922 0.417318
9 late  3408 657 3.3929 3.0672 5.30431 3.73433 0.837735 0.417901
10 early 4218 810 3.54931 3.7962 5.34643 3.7327 0.868895 0.46427
10 late  3436 655 3.56927 3.0924 5.36774 3.75264 0.87369 0.464959
11 early 4345 909 3.61335 3.9105 5.53984 3.82841 0.895742 0.513063
11 late  3518 739 3.63701 3.1662 5.53094 3.84342 0.907618 0.513694
12 early 4415 897 3.6949 3.9735 5.68838 3.87077 0.911212 0.563835
12 late  3545 722 3.66601 3.1905 5.68641 3.89176 0.896192 0.564607
13 early 4428 883 3.73555 3.9852 5.6772 3.90253 0.917796 0.616629
13 late  3534 686 3.75184 3.1806 5.7159 3.9491 0.914827 0.617332
14 early 4347 813 3.86312 3.9123 5.68567 3.82475 0.951691 0.667206
14 late  3463 626 3.91915 3.1167 5.68788 3.85244 0.963904 0.667836
15 early 4308 845 3.95427 3.8772 5.6862 3.74933 0.972377 0.716464
15 late  3491 684 3.96935 3.1419 5.707 3.81643 0.97823 0.717262
16 early 4339 848 3.99816 3.9051 5.78402 3.78688 0.983637 0.766433
16 late  3505 679 3.9826 3.1545 5.8029 3.84883 0.981455 0.767225
17 early 4375 870 3.99177 3.9375 5.90887 3.85173 0.994971 0.818637
17 late  3514 676 4.03244 3.1626 5.88779 3.85835 1.01366 0.819431
18 early 4371 857 4.04576 3.9339 5.81008 3.87397 1.01624 0.869471
18 late  3576 714 4.04362 3.2184 5.80456 3.87155 1.02517 0.870301
19 early 4428 852 4.07317 3.9852 5.85189 3.96393 1.0262 0.921506
19 late  3479 665 4.10003 3.1311 5.88248 4.03222 1.04829 0.922389
20 early 4393 914 4.03893 3.9537 5.87369 3.91826 1.02891 0.972961
20 late  3506 721 4.06132 3.1554 5.87296 3.96117 1.04392 0.973627
21 early 4387 881 4.04491 3.9483 5.98664 3.96223 1.01504 1.07404
21 late  3478 676 4.07274 3.1302 5.95652 3.92206 1.01294 1.07471
22 early 4349 871 4.05679 3.9141 5.87768 3.81034 1.00575 1.13179
22 late  3481 690 4.0632 3.1329 5.91607 3.86153 0.989371 1.13248
23 early 4303 822 4.09598 3.8727 5.94716 3.79283 1.00651 1.18315
23 late  3439 660 4.15702 3.0951 5.92995 3.76547 1.02413 1.18383
24 early 4325 886 4.10058 3.8925 5.96957 3.83949 1.01341 1.23751
24 late  3483 715 4.12202 3.1347 5.93177 3.81518 1.02613 1.2383
25 early 4345 862 4.10587 3.9105 5.93834 3.84172 1.02094 1.28893
25 late  3493 713 4.11251 3.1437 5.94471 3.84317 1.02405 1.28961
26 early 4347 854 4.10812 3.9123 5.92466 3.84398 1.02162 1.33999
26 late  3515 700 4.09986 3.1635 5.91635 3.85525 1.01622 1.34068
27 early 4423 908 4.05291 3.9807 6.01861 3.95343 1.00859 1.39203
27 late  3527 716 4.05245 3.1743 6.04649 3.98695 1.01134 1.39276
28 early 4384 857 4.06478 3.9456 6.07299 3.90435 1.00661 1.44384
28 late  3502 685 4.07853 3.1518 6.04076 3.8548 1.00828 1.44455
29 early 4371 869 4.06886 3.9339 6.06661 3.87854 1.00709 1.49553
29 late  3506 681 4.10468 3.1554 6.06036 3.89145 1.02767 1.49621
30 early 4401 895 4.06658 3.9609 6.10192 3.90755 1.01341 1.54895
30 late  3507 720 4.05332 3.1563 6.10348 3.91601 1.02338 1.54967
31 early 4358 851 4.06654 3.9222 6.07792 3.90425 1.02065 1.60117
31 late  3493 676 4.06814 3.1437 6.04415 3.89915 1.02834 1.60191
32 early 4331 838 4.08751 3.8979 5.92601 3.88502 1.04387 1.65191
32 late  3430 672 4.05743 3.087 5.91089 3.89486 1.03265 1.65274
33 early 4284 854 4.04925 3.8556 5.79436 3.86446 1.02428 1.70307
33 late  3438 686 4.08086 3.0942 5.78117 3.87136 1.01978 1.70381
34 early 4326 888 4.03791 3.8934 5.8411 3.8912 1.01017 1.75359
34 late  3469 692 4.12107 3.1221 5.82904 3.90387 1.0147 1.75429
35 early 4336 867 4.09709 3.9024 5.87998 3.9189 1.01361 1.80409
35 late  3498 700 4.15266 3.1482 5.85249 3.93656 1.02973 1.8048
36 early 4276 778 4.21515 3.8484 5.72385 3.84513 1.0435 1.8537
36 late  3499 640 4.18577 3.1491 5.75365 3.87232 1.04001 1.85451
37 early 4355 856 4.16648 3.9195 5.86656 3.9303 1.03927 1.905
37 late  3499 706 4.16805 3.1491 5.83443 3.90352 1.04287 1.90575
38 early 4356 857 4.15129 3.9204 5.79288 3.84133 1.03604 1.95503
38 late  3550 678 4.2062 3.195 5.77747 3.90919 1.05014 1.95584
39 early 4437 887 4.16543 3.9933 5.84076 3.97783 1.03538 2.00635
39 late  3551 712 4.20727 3.1959 5.86364 4.02077 1.05182 2.00721
40 early 4498 947 4.11094 4.0482 5.92269 4.05337 1.02023 2.05985
40 late  3626 759 4.14506 3.2634 5.90431 4.02836 1.02978 2.06058
41 early 4507 881 4.13934 4.0563 5.89782 4.04528 1.02263 2.11628
41 late  3631 687 4.1724 3.2679 5.88906 4.03132 1.03002 2.11708
42 early 4508 877 4.16615 4.0572 5.86905 3.9878 1.02972 2.17251
42 late  3591 714 4.14286 3.2319 5.91616 4.10547 1.02172 2.17325
43 early 4508 917 4.09672 4.0572 5.95598 4.04641 1.03039 2.22618
43 late  3587 708 4.15835 3.2283 5.97701 4.06383 1.04516 2.22761
44 early 4456 869 4.15238 4.0104 5.97312 3.9701 1.04286 2.28166
44 late  3572 680 4.25756 3.2148 6.00777 3.98321 1.06887 2.2824
45 early 4418 846 4.25079 3.9762 5.97404 3.91343 1.06541 2.41402
45 late  3479 650 4.31532 3.1311 5.98266 3.92596 1.06525 2.41489
46 early 4385 906 4.2171 3.9465 5.96378 3.8818 1.03854 2.46603
46 late  3516 745 4.20961 3.1644 5.96694 3.90946 1.03896 2.46688
47 early 4374 858 4.1877 3.9366 5.95293 3.90048 1.03612 2.51921
47 late  3498 690 4.19926 3.1482 5.94478 3.91283 1.03459 2.51998
48 early 4343 845 4.18766 3.9087 5.8578 3.85598 1.04099 2.57076
48 late  3494 683 4.21551 3.1446 5.85881 3.86283 1.03921 2.57152
49 early 4344 850 4.19498 3.9096 5.86076 3.82548 1.0366 2.62194
49 late  3470 680 4.21182 3.123 5.84445 3.80833 1.04236 2.62283
50 early 4340 870 4.16705 3.906 5.89364 3.83363 1.04124 2.67293
50 late  3477 703 4.18234 3.1293 5.88623 3.8204 1.0463 2.67386
51 early 4407 930 4.08872 3.9663 5.93709 3.89507 1.02587 2.726
51 late  3501 745 4.0934 3.1509 5.91926 3.9081 1.04142 2.72729
52 early 4356 855 4.09366 3.9204 5.81424 3.83472 1.03398 2.77715
52 late  3499 669 4.15519 3.1491 5.78836 3.84885 1.05259 2.77827
53 early 4433 934 4.06903 3.9897 5.92973 3.97817 1.03023 2.83006
53 late  3533 723 4.07925 3.1797 5.93811 3.98756 1.02972 2.83125
54 early 4428 895 4.05262 3.9852 5.90781 3.97038 1.01197 2.88295
54 late  3532 693 4.09032 3.1788 5.91111 3.97469 1.02039 2.88417
55 early 4409 877 4.0778 3.9681 5.87606 3.9459 1.02359 2.93652
55 late  3524 684 4.15607 3.1716 5.89044 3.98809 1.04086 2.93764
56 early 4399 875 4.13048 3.9591 5.95036 3.96634 1.03455 2.99002
56 late  3522 704 4.10704 3.1698 5.9241 3.9537 1.03038 2.99126
57 early 4415 893 4.07407 3.9735 5.98278 3.951 1.02627 3.04352
57 late  3517 711 4.07194 3.1653 5.95401 3.91706 1.03185 3.04464
58 early 4309 792 4.13971 3.8781 5.78229 3.82595 1.05036 3.09642
58 late  3460 632 4.13237 3.114 5.8371 3.8802 1.04971 3.09758
59 early 4317 857 4.1135 3.8853 5.97162 3.85289 1.03475 3.14876
59 late  3463 677 4.19838 3.1167 5.91057 3.80015 1.05602 3.14993
60 early 4297 834 4.18943 3.8673 5.8476 3.79764 1.04561 3.20426
60 late  3522 673 4.23481 3.1698 5.8819 3.83091 1.0565 3.20568
61 early 4334 812 4.25404 3.9006 6.02592 3.85396 1.07683 3.26255
61 late  3474 647 4.28325 3.1266 5.98655 3.80983 1.0688 3.26345
62 early 4404 930 4.16757 3.9636 6.079 3.92832 1.03542 3.31827
62 late  3542 741 4.19678 3.1878 6.09047 3.98202 1.03896 3.31948
63 early 4401 859 4.18246 3.9609 6.05683 3.94874 1.04135 3.3737
63 late  3525 672 4.22043 3.1725 6.06523 3.95248 1.05929 3.37453
64 early 4395 870 4.18703 3.9555 6.0337 3.93624 1.05734 3.42934
64 late  3574 696 4.20118 3.2166 6.00329 3.90354 1.06967 3.43051
65 early 4472 898 4.15675 4.0248 6.0419 4.01606 1.06619 3.48599
65 late  3643 722 4.2056 3.2787 6.04513 3.98697 1.07878 3.48693
66 early 4522 879 4.19372 4.0698 6.11646 4.03323 1.05639 3.54531
66 late  3584 678 4.21484 3.2256 6.09987 4.02314 1.07338 3.54633
67 early 4532 948 4.12401 4.0788 6.12347 4.00538 1.03795 3.60171
67 late  3579 744 4.09276 3.2211 6.13199 4.00023 1.01509 3.60261
68 early 4445 866 4.10056 4.0005 6.07083 3.90812 1.00832 3.65741
68 late  3483 671 4.17571 3.1347 6.04128 3.9517 1.02326 3.65826
69 early 4318 835 4.17485 3.8862 5.90614 3.79438 1.02964 3.71004
69 late  3458 681 4.16686 3.1122 5.86816 3.80102 1.02024 3.7109
70 early 4344 886 4.11303 3.9096 5.89352 3.8525 1.00599 3.76174
70 late  3467 700 4.12547 3.1203 5.91663 3.88519 0.998846 3.76256
71 early 4322 855 4.11152 3.8898 5.91295 3.83632 1.00231 3.81418
71 late  3431 666 4.16846 3.0879 5.91292 3.8754 1.01749 3.81521
72 early 4251 820 4.17149 3.8259 5.83059 3.79276 1.01458 3.86584
72 late  3419 665 4.17461 3.0771 5.81351 3.76822 1.00234 3.86665
73 early 4298 879 4.11633 3.8682 5.86558 3.84799 0.996743 3.91811
73 late  3412 693 4.12134 3.0708 5.85265 3.87438 0.982708 3.91903
74 early 4262 850 4.09995 3.8358 5.76649 3.84157 0.983107 4.06418
74 late  3449 669 4.15512 3.1041 5.82388 3.87919 0.991012 4.06519
75 early 4297 848 4.13777 3.8673 5.94531 3.80671 1.00954 4.11859
75 late  3504 690 4.17409 3.1536 5.92542 3.80624 1.01427 4.11954
76 early 4369 865 4.14969 3.9321 6.04673 3.86429 1.01144 4.17263
76 late  3516 683 4.19937 3.1644 6.0517 3.8839 1.03185 4.1735
77 early 4408 892 4.14723 3.9672 6.10881 3.89428 1.01838 4.227
77 late  3480 709 4.18276 3.132 6.06775 3.85946 1.02586 4.22788
78 early 4309 829 4.18566 3.8781 5.92056 3.7779 1.03945 4.28007
78 late  3445 661 4.23338 3.1005 5.98511 3.85306 1.04615 4.28101
79 early 4363 918 4.13225 3.9267 6.06952 3.86624 1.04217 4.33354
79 late  3445 725 4.15965 3.1005 6.06792 3.88376 1.04383 4.33455
80 early 4279 834 4.15401 3.8511 5.99329 3.7891 1.04323 4.38643
80 late  3413 677 4.18928 3.0717 5.97272 3.80565 1.06446 4.38739
81 early 4299 886 4.1198 3.8691 6.06737 3.54779 1.03745 4.43974
81 late  3444 698 4.19338 3.0996 6.03913 3.8246 1.05372 4.4406
82 early 4320 876 4.14028 3.888 6.05659 3.85604 1.03588 4.49256
82 late  3470 710 4.17118 3.123 6.05683 3.86101 1.04986 4.49337
83 early 4340 870 4.13456 3.906 6.0372 3.85147 1.03571 4.54695
83 late  3520 706 4.14091 3.168 6.03991 3.91694 1.03125 4.5478
84 early 4438 918 4.07751 3.9942 6.31532 3.95049 1.01983 4.604
84 late  3509 726 4.11 3.1581 6.28024 3.94875 1.01966 4.60498
85 early 4357 848 4.11545 3.9213 6.22565 3.85378 1.01859 4.65934
85 late  3429 668 4.11374 3.0861 6.18728 3.81597 1.00992 4.66036
86 early 4255 826 4.12103 3.8295 6.06078 3.74999 1.01692 4.71335
86 late  3486 687 4.1222 3.1374 6.02372 3.68408 1.01348 4.71422
87 early 4317 831 4.13621 3.8853 6.12103 3.8415 1.01946 4.7673
87 late  3449 660 4.12583 3.1041 6.10366 3.79826 1.0203 4.76825
88 early 4288 839 4.1229 3.8592 6.01467 3.75966 1.02589 4.82047
88 late  3452 686 4.15788 3.1068 6.02836 3.7872 1.03737 4.82129
89 early 4333 881 4.10916 3.8997 6.15128 3.82851 1.02239 4.87354
89 late  3474 700 4.12378 3.1266 6.1167 3.79942 1.02303 4.87434
90 early 4342 868 4.09949 3.9078 6.11987 3.78632 1.02303 4.92767
90 late  3445 694 4.09318 3.1005 6.0724 3.7918 1.02293 4.92875
91 early 4293 848 4.08712 3.8637 5.91736 3.80361 1.01863 4.97982
91 late  3456 665 4.20284 3.1104 5.87162 3.79166 1.04196 4.98064
92 early 4380 924 4.10525 3.942 5.95823 3.90472 1.00822 5.03266
92 late  3505 764 4.09815 3.1545 5.95055 3.91522 1.00628 5.03355
93 early 4383 878 4.07689 3.9447 5.87571 3.85966 1.00913 5.08586
