// Initial random seed:
23

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'xy');
initializeTreeSeq();
NUMGENS = 30
BURNIN = 200
W = 50
SIGMA = 1.5
K = 5
A = 0.444444
SD = 1.5
SI = 1.5
SM = 1.5
L = 4
G = 2000000000
FECUN = 0.25
initializeMutationType(1, 0.5, "g", 0, 2);
initializeGenomicElementType(1, m1, 1);
initializeGenomicElement(g1, 0, 1999999999);
initializeMutationRate(0);
initializeRecombinationRate(1e-09);
initializeInteractionType(1, "xy", reciprocal=T, maxDistance=4.5);
initializeInteractionType(2, "xy", reciprocal=T, maxDistance=4.5);

// Starting run at generation <start>:
1 

gen stage pop_size births age density neighbor harm_neigh num_off time
1 early 5555 5555 0 4.9995 4.6004 4.41006 0 0.092964
1 late  3775 3775 0 3.3975 4.70985 4.5818 0 0.093454
2 early 4713 938 0.800976 4.2417 4.28473 3.90764 0.205177 0.179521
2 late  3520 701 0.800852 3.168 4.40146 4.08274 0.202841 0.180078
3 early 4393 873 1.44298 3.9537 4.27011 3.72907 0.373549 0.255748
3 late  3416 665 1.45258 3.0744 4.38932 3.89593 0.377342 0.256292
4 early 4266 850 1.9639 3.8394 4.41783 3.69223 0.495077 0.331845
4 late  3306 658 1.96884 2.9754 4.52656 3.84985 0.50484 0.332431
5 early 4104 798 2.39157 3.6936 4.45815 3.62213 0.603801 0.405588
5 late  3317 649 2.37293 2.9853 4.54119 3.73265 0.602954 0.406144
6 early 4105 788 2.72546 3.6945 4.60542 3.6489 0.694519 0.481926
6 late  3307 615 2.74327 2.9763 4.70465 3.80024 0.690051 0.482576
7 early 4159 852 2.97644 3.7431 4.80913 3.69731 0.74465 0.561604
7 late  3344 669 2.99731 3.0096 4.89788 3.82749 0.744617 0.562203
8 early 4156 812 3.21631 3.7404 4.97139 3.75418 0.798604 0.644179
8 late  3390 649 3.23923 3.051 5.04161 3.85818 0.80354 0.644804
9 early 4182 792 3.43639 3.7638 5.15176 3.81045 0.857484 0.736421
9 late  3361 630 3.46564 3.0249 5.22569 3.88687 0.863136 0.737119
10 early 4186 825 3.58552 3.7674 5.27001 3.81562 0.890349 0.824806
10 late  3417 658 3.62218 3.0753 5.2989 3.86179 0.90518 0.825471
11 early 4329 912 3.64842 3.8961 5.50185 3.95978 0.911758 0.920292
11 late  3459 718 3.67852 3.1131 5.5607 4.03656 0.921075 0.921036
