// Initial random seed:
23

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'xy');
initializeTreeSeq();
NUMGENS = 100
W = 50
SIGMA = 1
K = 5
A = 0.363636
SD = 1
SI = 1
SM = 1
L = 4
G = 2000000000
FECUN = 0.25
initializeMutationType(1, 0.5, "g", 0, 2);
initializeGenomicElementType(1, m1, 1);
initializeGenomicElement(g1, 0, 1999999999);
initializeMutationRate(0);
initializeRecombinationRate(1e-09);
initializeInteractionType(1, "xy", reciprocal=T, maxDistance=3);
initializeInteractionType(2, "xy", reciprocal=T, maxDistance=3);

// Starting run at generation <start>:
1 

gen stage pop_size births age density neighbor harm_neigh num_off time
1 early 4545 4545 0 4.9995 4.66031 4.46432 0 0.041297
1 late  3228 3228 0 3.5508 4.74011 4.60351 0 0.041905
2 early 4055 827 0.796054 4.4605 4.51034 4.12205 0.198767 0.086589
2 late  3126 628 0.799104 3.4386 4.59909 4.2621 0.202815 0.08711
3 early 3907 781 1.43947 4.2977 4.60003 4.03854 0.367801 0.12813
3 late  3069 591 1.45064 3.3759 4.69415 4.18811 0.363962 0.128609
4 early 3865 796 1.94592 4.2515 4.83617 4.04212 0.488745 0.168822
4 late  3101 634 1.94292 3.4111 4.91579 4.18497 0.48565 0.169285
5 early 3856 755 2.3667 4.2416 5.03912 4.08936 0.58973 0.211104
5 late  3149 596 2.38012 3.4639 5.11745 4.20052 0.603684 0.211614
6 early 3954 805 2.69196 4.3494 5.33372 4.22846 0.684117 0.256938
6 late  3181 652 2.68689 3.4991 5.36641 4.32033 0.686891 0.257428
7 early 4009 828 2.92542 4.4099 5.52056 4.31332 0.74208 0.304997
7 late  3201 652 2.94189 3.5211 5.57607 4.41074 0.749141 0.30557
8 early 3969 768 3.17914 4.3659 5.61483 4.28339 0.801965 0.365844
8 late  3182 609 3.19076 3.5002 5.65127 4.35014 0.786298 0.366404
9 early 3902 720 3.41748 4.2922 5.64968 4.21385 0.842132 0.425146
9 late  3126 573 3.43026 3.4386 5.69029 4.2941 0.847089 0.426058
10 early 3884 758 3.56565 4.2724 5.72357 4.22356 0.889289 0.483148
10 late  3147 604 3.55545 3.4617 5.74858 4.35303 0.886876 0.483733
11 early 3910 763 3.6665 4.301 5.8708 4.33232 0.909207 0.542677
11 late  3162 622 3.6518 3.4782 5.81968 4.27759 0.906705 0.543306
12 early 3986 824 3.69017 4.3846 5.91439 4.39867 0.924486 0.600503
12 late  3167 659 3.70666 3.4837 5.90878 4.43558 0.918535 0.601152
13 early 3934 767 3.78902 4.3274 5.87978 4.36343 0.936451 0.661543
13 late  3135 598 3.80925 3.4485 5.89274 4.40657 0.935566 0.662709
14 early 3928 793 3.83834 4.3208 5.90414 4.29385 0.940937 0.721912
14 late  3115 625 3.89053 3.4265 5.92496 4.31227 0.960514 0.723295
15 early 3883 768 3.92326 4.2713 5.88465 4.28553 0.975792 0.780441
15 late  3156 612 3.94835 3.4716 5.87107 4.3259 0.979404 0.781084
16 early 3955 799 3.94867 4.3505 5.99873 4.40256 0.979772 0.839474
16 late  3181 642 3.98522 3.4991 6.00862 4.43642 0.981138 0.840227
17 early 3955 774 4.00961 4.3505 5.96032 4.39507 0.989128 0.897768
17 late  3206 617 4.04679 3.5266 5.94616 4.39045 0.995945 0.898593
18 early 4005 799 4.03995 4.4055 6.02506 4.40593 0.983021 0.961489
18 late  3183 643 3.99623 3.5013 6.0005 4.37642 0.96984 0.962843
19 early 3988 805 3.98771 4.3868 6.00361 4.38843 0.96991 1.02218
19 late  3219 644 4.00249 3.5409 5.97016 4.3636 0.981671 1.02299
20 early 3987 768 4.03888 4.3857 5.90551 4.36541 0.996489 1.07257
20 late  3253 599 4.11774 3.5783 5.89585 4.36491 1.02213 1.07319
21 early 4053 800 4.10757 4.4583 5.99778 4.45218 1.02344 1.16659
21 late  3196 633 4.10826 3.5156 5.99785 4.46416 1.02315 1.16744
22 early 4031 835 4.05011 4.4341 5.94653 4.43325 1.01389 1.21873
22 late  3220 654 4.0441 3.542 5.96223 4.46846 1.00807 1.21936
23 early 4013 793 4.04735 4.4143 6.01954 4.40649 0.992026 1.27054
23 late  3201 602 4.13902 3.5211 6.03265 4.44246 1.01 1.27118
24 early 4025 824 4.08696 4.4275 6.00709 4.41174 0.996273 1.32276
24 late  3211 658 4.1199 3.5321 6.02053 4.44398 1.00934 1.32343
25 early 3980 769 4.13065 4.378 6.00873 4.40667 1.01759 1.37412
25 late  3185 616 4.10769 3.5035 6.07293 4.50944 1.01193 1.37481
26 early 3985 800 4.08231 4.3835 6.13669 4.3852 1.01455 1.42507
26 late  3166 639 4.05338 3.4826 6.10502 4.36784 1.00663 1.42591
27 early 3932 766 4.06892 4.3252 5.99992 4.34492 1.00585 1.47353
27 late  3177 592 4.14101 3.4947 6.03265 4.38812 1.02392 1.47415
28 early 4000 823 4.08325 4.4 6.16095 4.38819 1.009 1.52247
28 late  3149 653 4.09876 3.4639 6.13215 4.35737 1.01366 1.52309
29 early 3916 767 4.1001 4.3076 5.96294 4.27021 1.00689 1.56972
29 late  3160 634 4.09177 3.476 5.97278 4.29952 0.994304 1.57045
30 early 3939 779 4.08479 4.3329 6.01686 4.24383 1.00457 1.61749
30 late  3185 647 4.05777 3.5035 5.98012 4.25139 1.00031 1.61826
